Depth (Ft),Displacement (in)
0.0,0.16666666666666666
0.1,0.16666666666666666
0.2,0.16666350886338885
0.30000000000000004,0.1666572069492523
0.4,0.1666477746133132
0.5,0.1666352255411747
0.6000000000000001,0.16661957341489617
0.7000000000000001,0.16660083191290248
0.8,0.16657901470989273
0.9,0.1665541354767488
1.0,0.1665262078804433
1.1,0.16649524558394765
1.2000000000000002,0.16646126224613922
1.3,0.16642427152170886
1.4000000000000001,0.1663842870610677
1.5,0.1663413225102537
1.6,0.16629539151083786
1.7000000000000002,0.16624650769983024
1.8,0.16619468470958532
1.9000000000000001,0.16613993616770784
2.0,0.1660822756969575
2.1,0.16602171691515397
2.2,0.16595827343508107
2.3000000000000003,0.1658919588643912
2.4000000000000004,0.165822786805509
2.5,0.16575077085553513
2.6,0.1656759246061495
2.7,0.16559826164351404
2.8000000000000003,0.16551779554817572
2.9000000000000004,0.16543453989496887
3.0,0.16534850825291714
3.1,0.16525971418513574
3.2,0.16516817124873281
3.3000000000000003,0.16507389299471098
3.4000000000000004,0.16497689296786827
3.5,0.16487718470669882
3.6,0.16477478174329352
3.7,0.16466969760324016
3.8000000000000003,0.1645619458055233
3.9000000000000004,0.16445153986242417
4.0,0.1643384932794201
4.1000000000000005,0.16422281955508383
4.2,0.16410453218098225
4.3,0.16398364464157528
4.4,0.16386017041411424
4.5,0.16373412296853995
4.6000000000000005,0.1636055157673807
4.7,0.16347436226564988
4.800000000000001,0.16334067591074353
4.9,0.1632044701423377
5.0,0.16306575839228507
5.1000000000000005,0.1629245540845121
5.2,0.16278087063491514
5.300000000000001,0.16263472145125693
5.4,0.1624861199330624
5.5,0.16233507947151452
5.6000000000000005,0.16218161344935
5.7,0.16202573524075442
5.800000000000001,0.16186745821125745
5.9,0.1617067957176277
6.0,0.16154376110776728
6.1000000000000005,0.16137836772060643
6.2,0.16121062888599774
6.300000000000001,0.16104055792461008
6.4,0.16086816814782245
6.5,0.1606934728576176
6.6000000000000005,0.16051648534647528
6.7,0.1603372188972656
6.800000000000001,0.16015568678314213
6.9,0.1599719022674344
7.0,0.15978587860354082
7.1000000000000005,0.1595976290348208
7.2,0.1594071667944871
7.300000000000001,0.1592145051054977
7.4,0.15901965718044758
7.5,0.15882263622146053
7.6000000000000005,0.1586234554200804
7.7,0.15842212795716262
7.800000000000001,0.15821866700276502
7.9,0.15801308571603878
8.0,0.15780539724511933
8.1,0.15759561472701672
8.200000000000001,0.157383751287506
8.3,0.15716982004101746
8.4,0.15695383409052646
8.5,0.15673580652744354
8.6,0.15651575043150404
8.700000000000001,0.15629367887065768
8.8,0.15606960490095795
8.9,0.1558435415664513
9.0,0.15561550189906642
9.1,0.15538549891850295
9.200000000000001,0.15515354563212036
9.3,0.15491965503482633
9.4,0.15468384010896546
9.5,0.15444611382420748
9.600000000000001,0.15420648913743557
9.700000000000001,0.15396497899263434
9.8,0.1537215963207778
9.9,0.15347635403971707
10.0,0.1532292650540681
10.100000000000001,0.1529803422550992
10.200000000000001,0.15272959852061846
10.3,0.15247704671486081
10.4,0.15222269968837543
10.5,0.15196657027791266
10.600000000000001,0.15170867130631094
10.700000000000001,0.1514490155823837
10.8,0.1511876159008058
10.9,0.1509244850420003
11.0,0.1506596357720248
11.100000000000001,0.15039308084245784
11.200000000000001,0.15012483299028526
11.3,0.1498549049377862
11.4,0.14958330939241912
11.5,0.1493100590467079
11.600000000000001,0.1490351665781276
11.700000000000001,0.14875864464899025
11.8,0.14848050590633066
11.9,0.14820076298179188
12.0,0.14791942849151074
12.100000000000001,0.14763651503600325
12.200000000000001,0.1473520352000499
12.3,0.1470660015525811
12.4,0.14677842664656213
12.5,0.14648932301887857
12.600000000000001,0.14619870319022119
12.700000000000001,0.145906579664971
12.8,0.14561296493108417
12.9,0.1453178714599767
13.0,0.14502131170640936
13.100000000000001,0.14472329810837242
13.200000000000001,0.1444238430869704
13.3,0.1441229590463066
13.4,0.14382065837336763
13.5,0.143516953437908
13.600000000000001,0.14321185659233443
13.700000000000001,0.14290538017159055
13.8,0.14259753649304124
13.9,0.14228833785635697
14.0,0.14197779654339818
14.100000000000001,0.14166592481809953
14.200000000000001,0.1413527349263543
14.3,0.14103823909589863
14.4,0.14072244953619553
14.5,0.1404053784383193
14.600000000000001,0.1400870379748394
14.700000000000001,0.13976744029970478
14.8,0.13944659754812783
14.9,0.13912452183646867
15.0,0.13880122526211916
15.100000000000001,0.13847671990338695
15.200000000000001,0.13815101781937966
15.3,0.1378241310498891
15.4,0.1374960716152752
15.5,0.13716685151635008
15.600000000000001,0.13683648273426227
15.700000000000001,0.1365049772303807
15.8,0.13617234694617886
15.9,0.13583860380311896
16.0,0.13550375970253623
16.1,0.13516782652552278
16.2,0.1348308161328121
16.3,0.1344927403646629
16.400000000000002,0.13415361104074375
16.5,0.13381343996001696
16.6,0.133472238900623
16.7,0.13313001961976495
16.8,0.13278679385359266
16.900000000000002,0.13244257331708725
17.0,0.1320973697039456
17.1,0.1317511946864646
17.2,0.13140405991542586
17.3,0.13105597701998034
17.400000000000002,0.13070695760753276
17.5,0.13035701326362648
17.6,0.13000615555182823
17.7,0.12965439601361287
17.8,0.12930174616824813
17.900000000000002,0.12894821751267976
18.0,0.12859382152141624
18.1,0.12823856964641417
18.2,0.1278824733169633
18.3,0.12752554393957177
18.400000000000002,0.12716779289785124
18.5,0.12680923155240242
18.6,0.12644987124070053
18.7,0.12608972327698065
18.8,0.12572879895212358
18.900000000000002,0.12536710953354147
19.0,0.1250046662650637
19.1,0.12464148036682267
